word,translation,toeic_target,sentence,trans_s
fireman/firewoman,n. 消防員,初級,The fireman rescued the child from the burning house.,消防員從著火的房子裡救出了孩子。
firm,n. 商行；公司 adj. 穩固的 v. 使牢固 adv. 牢固地,中級,1. He works for a law firm. 2. The ground was firm under our feet. 3. We need to firm up the plan before presenting it.,1. 他在一家律師事務所工作。 2. 我們腳下的地面很穩固。 3. 我們需要在提交計劃之前完善它。
flat,adj. 平坦的 adv. 平坦地；仰臥地 n. 平坦部分,初級,1. The road is flat and easy to walk on.,1. 這條路平坦易行。
flow,n./v. 流動,中級,1. The flow of water was very strong. 2. The river flows into the sea.,1. 水流非常湍急。 2. 河流流入大海。
folk,n. 眾人；民謠 adj. 民間的；傳統的,中級,1. Some folks prefer the countryside to the city. 2. She enjoys listening to folk from Ireland. 3. He’s a collector of folk art.,1. 有些人喜歡鄉村而不是城市。 2. 她喜歡聽愛爾蘭民謠。 3. 他是一位民間藝術收藏家。
following,adj. 接著的；下列的 prep. 在...以後 n. 追隨者；下列人事物,中級,"1. Please read the following instructions carefully. 2. Following the meeting, we had lunch together. 3. The singer has a huge following on social media.",1. 請仔細閱讀以下說明。 2. 會後，我們一起吃了午餐。 3. 這位歌手在社群媒體上擁有眾多粉絲。
force,n. 力量 v. 強迫,中級,1. The force of the wind broke the window. 2. They forced him to apologize.,1. 強風把窗戶吹破了。 2. 他們強迫他道歉。
forth,adv. 向前,高級,She stepped forth to speak.,她走上前去發言。
forward/forwards,adv. 向前；向將來 adj. 前方的；向前的；未來的；冒失的 v. 轉寄(郵件),初級,1. Please move forward in the line 2. The forward part of the ship was damaged. 3. She is very forward in speaking her mind. 4. I will forward your email to the manager.,1. 請向前走。 2. 船頭受損了。 3. 她說話很直率。 4. 我會把你的郵件轉寄給經理。
found,v. 創立,中級,They founded a new company last year,他們去年創立了一家新公司。
fries,n. 炸薯條,初級,I ordered a burger with fries.,我點了一份漢堡和薯條。
function,n. 功能 v. 運轉；起作用,中級,1. The function of the heart is to pump blood. 2. The machine is functioning properly.,1. 心臟的功能是泵血。 2. 這台機器運轉正常。
further,adv. 更進一步地；更遠地 adj. 更遠的；進一步的 v. 促進,中級,1. The investigation will continue further next week. 2. We need further information before making a decision. 3. She worked hard to further her career.,1. 下週將繼續進行調查。 2. 我們需要更多資訊才能做出決定。 3. 她努力工作以促進自己的事業發展。
gardener,n. 園丁；花匠,初級,The gardener waters the flowers every morning.,園丁每天早上都會​​給花澆水。
garlic,n. 大蒜,初級,I like pasta with garlic and olive oil.,我喜歡蒜蓉橄欖油意麵。
giraffe,n. 長頸鹿,初級,The giraffe has a very long neck.,長頸鹿的脖子很長。
govern,v. 統治；治理,中級,The country is governed by a democratically elected president.,該國由民選總統治理。
gradual,adj. 逐漸的；平緩的,中級,There has been a gradual improvement in his health.,他的身體狀況已逐漸改善。
grain,n. 穀物,中級,1. The farmer harvested tons of grain this year.,1. 這位農民今年收穫了數噸糧食。
grand,adj. 雄偉的；重大的；極好的,中級,1. They held a grand ceremony to celebrate the opening of the new museum. 2. She has grand dreams of becoming a famous actress. 3. That was a grand vacation!,1. 他們舉行了盛大的儀式來慶祝新博物館的開幕。 2. 她夢想成為一名著名演員。 3. 那是個非常棒的假期！
growth,n. 生長；發育；成長,中級,1. A healthy diet is important for a child’s growth. 2. The company has seen rapid growth in recent years,1. 健康的飲食對孩子的成長至關重要。 2. 該公司近年來發展迅速。
gymnasium/gym,n. 體育館,初級,The students are playing basketball in the gymnasium.,學生們正在體育館打籃球。
hamburger/burger,n. 漢堡,初級,I ate a hamburger for lunch.,我午餐吃了漢堡。
heaven,n. 天國；極樂之地，天堂；天空，天際,初級,1. She believes her grandmother is in heaven. 2. This beach is like heaven. 3. The heavens opened and it began to pour.,1. 她相信她的祖母在天堂。 2. 這片海灘宛如天堂。 3. 天裂開了，下起了傾盆大雨。
hero/heroine,n. 英雄；女英雄,初級,He is considered a hero for saving the child.,他因救了孩子而被視為英雄。
highly,adv. 非常；很；高地,中級,1. She is a highly intelligent woman. 2. This is a highly sensitive issue.,1. 她是一位非常聰明的女性。 2. 這是一個高度敏感的問題。
hike,n. 健行 v. 遠足；(價格等)上升,初級,1. We went for a 10-kilometer hike. 2. We hiked in the mountains last weekend. 3. The government plans to hike fuel prices.,1. 我們徒步走了10公里。 2. 我們上週末去山裡健行了。 3. 政府計劃提高燃油價格。
hippopotamus/hippo,n. 河馬,初級,We saw a hippo at the zoo.,我們在動物園看到了河馬。
historical,adj. 歷史的,中級,This book is about historical events in ancient China.,這本書講述的是中國古代的歷史事件。
host/hostess,n. 主人；主持人；主辦人 v. 主持；主辦,中級,1. He was a generous host at the party. 2. Taiwan will host the international conference next year.,1. 他在聚會中非常慷慨。 2. 台灣將於明年主辦國際會議。
huge,adj. 巨大的；龐大的,初級,1. They live in a huge house near the beach. 2. There was a huge crowd at the concert.,1. 他們住在海邊一棟很大的房子。 2. 音樂會現場人山人海。
ideal,adj. 理想的 n. 理想；典範,中級,1. This is the ideal place for a vacation. 2. He strives to live up to his ideals.,1. 這是理想的度假勝地。 2. 他努力實踐自己的理想。
identity,n. 身分；獨特性；認同感,中級,1. He showed his identity card to the officer. 2. Cultural identity is important to many people. 3. She struggles with her identity as an artist.,1. 他向警官出示了身分證。 2. 文化認同對許多人來說很重要。 3. 她為自己作為藝術家的認同而苦惱。
image,n. 影像；形象 v. 影像化，描繪；反映,中級,1. The image on the screen was very clear. 2. The company is trying to improve its public image. 3. The artist imaged the scene beautifully in his painting.,1. 螢幕上的影像非常清晰。 2. 這家公司正在努力改善其公眾形象。 3. 這位藝術家在他的畫作中將這一場景描繪得非常優美。
impressive,adj. 令人印象深刻的,中級,The singer gave an impressive performance last night.,這位歌手昨晚的表演令人印象深刻。
improvement,n. 改善,中級,There has been a significant improvement in her health.,她的健康狀況有了顯著改善。
indeed,adv. 的確,中級,"1. She is indeed very talented. 2. Indeed, it was the best day of my life.",1. 她確實非常有才華。 2. 的確，那是我一生中最美好的一天。
independence,n. 獨立,中級,The country declared its independence in 1945.,該國於1945年宣布獨立。
individual,adj. 個人的，獨特的 n. 個人,中級,1. Each student has individual needs. 2. Every individual is responsible for their actions.,1. 每個學生都有各自的需求。 2. 每個人都應該為自己的行為負責。
industry,n. 工業,中級,The technology industry is growing rapidly.,科技業正在快速發展。
instance,n. 例子,中級,This is a good instance of teamwork.,這是團隊合作的一個很好的例子。
instead,adv. 反而；代替,初級,"1. I didn’t go to the party. Instead, I stayed home and read a book. 2. Use oil instead of butter in this recipe.",1. 我沒去參加聚會，而是待在家裡看書。 2. 這道菜譜裡用植物油代替奶油。
instruction,n. 教導；指示；使用說明，操作指南,中級,1. The teacher gave clear instructions to the students. 2. Please read the instructions carefully before using the machine. 3. The judge issued instructions to the jury.,1. 老師給學生們下了清晰的指示。 2. 請在使用機器前仔細閱讀說明書。 3. 法官向陪審團下達了指示。
internal,adj. 內部的；內在的；體內的,中級,1. The company is facing some internal problems. 2. She has an internal struggle about her decision. 3. He suffered internal injuries in the accident.,1. 公司面臨一些內部問題。 2. 她對自己的決定感到內心掙扎。 3. 他在事故中遭受了內傷。
internet,n. 網際網路,初級,The internet helps us find information quickly.,網路幫助我們快速找到資訊。
introduction,n. 介紹；引言；引進；入門,中級,1. et me give you an introduction to our new team member. 2. The introduction of the book explains the main topics. 3. The introduction of new technology improved productivity. 4. This is an introduction to programming course.,1. 讓我來介紹一下我們團隊的新成員。 2. 本書的引言部分闡述了主要內容。 3. 新技術的引進提高了生產力。 4. 這是一門程式設計入門課程。
jog,v. 慢跑；輕撞 n. 輕推；慢跑,初級,1. I jog every morning to keep fit. 2. She jogged my memory about the meeting. 3. Going for a jog in the park is relaxing.,1. 我每天早上慢跑以保持健康。 2. 她提醒了我關於會議的事。 3. 在公園慢跑很放鬆。
joint,adj. 共同的；接頭的；連接的 n. 關節,中級,1. They made a joint decision to start a business. 2. My knee joint hurts after running.,1. 他們共同決定創業。 2. 我跑步後膝關節疼痛。
journal,n. 雜誌；期刊,中級,The research was published in a scientific journal.,該研究成果發表在科學期刊。
judgement/judgment,n. 判斷，判斷力；判決；看法,高級,"1. She showed good judgment in handling the problem. 2. The court’s judgment was in favor of the defendant. 3. In my judgment, this is the best option.",1. 她在處理這個問題上表現出了良好的判斷力。 2. 法院的判決對被告有利。 3. 我認為這是最佳選擇。
justice,n. 公平；正義；司法；審判,高級,1. Everyone deserves justice regardless of their background. 2. The justice system is designed to protect citizens’ rights. 3. The judge delivered justice in the courtroom.,1. 無論出身如何，人人都應享有公正。 2. 司法系統旨在保護公民權利。 3. 法官在​​法庭上伸張了正義。
